,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
10,HCONRES17,Congratulating the people of Guatemala on the success of the recent negotiations to establish a peace process for Guatemala.,,R,1997-02-10,,,6,3,3,0,International affairs,Congratulates the Guatemalan Government for negotiating an end to hostilities and beginning the process of national reconciliation and reconstruction. Recognizes the commitment of the Unidad Revolucionaria Nacional Guatemala in Guatemala to agree to end the warfare and to resolve differences in a peaceful manner within a democratic political arena. Commends the Guatemalan people for their determination to achieve a lasting peace. Encourages their commitment to democratic principles and social...,13,1
11,HCONRES18,Congratulating the people of the Republic of Nicaragua on the success of their democratic elections held on October 20 1996.,,R,1997-02-11,,,8,4,4,0,International affairs,Congratulates: (1) the people of Nicaragua for the successful completion of the democratic elections held on October 20 1996; and (2) former President Violeta Barrios de Chamorro for her courage and commitment to democracy. Encourages all Nicaraguans to continue to work together on the long road to lasting peace and democracy. Recognizes that all Nicaraguans should continue to work together to ensure a stable democracy respect for human rights a free and market-oriented economy and social...,13,1
12,HCONRES31,Expressing the sense of Congress regarding the display of the Ten Commandments by Judge Roy S. Moore a judge on the circuit court of the State of Alabama.,,R,1997-03-03,,,25,24,1,0,Religion,Expresses the sense of the Congress that: (1) the Ten Commandments are a declaration of fundamental principles that are the cornerstones of a fair and just society; and (2) the public display of the Ten Commandments including in government offices and courthouses should be permitted.,12,1
13,HR513,To exempt certain contracts entered into by the government of the District of Columbia from review by the Council of the District of Columbia.,District of Columbia Council Contract Review Reform Act of 1997,R,1997-02-04,,,1,0,1,0,Government operations and politics,District of Columbia Council Contract Review Reform Act of 1997 - Amends the District of Columbia Self-Government and Governmental Reorganization Act to exempt from review and approval by the District of Columbia Council: (1) contracts entered into by the Washington Convention Center Authority for preconstruction activities project management design or construction; (2) contracts entered into by the District of Columbia Water and Sewer Authority other than contracts for the sale or lease o...,10,1
14,HCONRES16,Concerning the urgent need to improve the living standards of those South Asians living in the Ganges and the Brahmaputra River Basin.,,R,1997-02-06,,,5,2,3,0,International affairs,Congratulates the Governments of: (1) Bangladesh and India for their recent agreement on sharing the water of the Ganges River; and (2) India and Nepal on their treaty enabling the joint development of the water resources of the Mahakali River. Encourages their continued cooperation. Urges international financial institutions and the international community to offer appropriate advice encouragement and assistance with respect to water resources efforts in the region.,17,1
15,HRES68,Stating the sense of the House of Representatives that the Treaty of Mutual Cooperation and Security Between the United States of America and Japan is essential for furthering the security interests of the United States Japan and the nations of the Asia-Pacific region and that the people of Okinawa deserve recognition for their contributions toward ensuring the Treaty's implementation.,,D,1997-02-13,,,4,1,3,0,International affairs,Expresses the sense of the House of Representatives that: (1) the Treaty of Mutual Cooperation and Security Between the United States of America and Japan remains vital to the security interests of the United States Japan and the countries of the Asia-Pacific region; and (2) the people of Japan especially the people of Okinawa deserve special recognition and gratitude for their contributions toward ensuring the Treaty's implementation and regional peace and stability.,15,1
16,HR750,To support the autonomous governance of Hong Kong after its reversion to the People's Republic of China.,Hong Kong Reversion Act,R,1997-02-13,,,19,13,6,0,International affairs,Hong Kong Reversion Act - Directs the President to consider the performance of the Hong Kong Government and the actions of the Chinese Government when determining whether Hong Kong is not sufficiently autonomous to justify treatment under a particular U.S. law different from that accorded China as required under the United States-Hong Kong Policy Act of 1992. Directs the Secretary of State to include in each annual report to the Congress on conditions in Hong Kong among other things assessm...,15,1
17,HRES90,Providing for consideration of the resolution (H. Res. 89) requesting the President to submit a budget for fiscal year 1998 that would balance the Federal budget by fiscal year 2002 without relying on budgetary contingencies.,,R,1997-03-11,,,0,0,0,0,Congress,Sets forth the rule (closed) for the consideration of H. Res. 89 (Federal balanced budget).,8,2
18,HRES89,Requesting the President to submit a budget for fiscal year 1998 that would balance the Federal budget by fiscal year 2002 without relying on budgetary contingencies.,,R,1997-03-11,,,3,3,0,0,Economics and public finance,Requests the President to submit a detailed plan to balance the Federal budget by FY 2002 as estimated by the Congressional Budget Office (CBO) that: (1) uses the most recent CBO economic and technical assumptions; (2) reduces the deficit through programmatic reforms rather than alternative budgetary procedures such as automatic spending cuts and the sunsetting of tax cuts; (3) realizes a significant proportion of its total savings in the first three years; and (4) offers sufficient Medicar...,13,2
19,HRES95,Providing for consideration of the joint resolution (H.J. Res. 58) disapproving the certification of the President under section 490(b) of the Foreign Assistance Act of 1961 regarding foreign assistance for Mexico during fiscal year 1997.,,R,1997-03-12,,,0,0,0,0,Congress,Sets forth the rule (modified closed) for the consideration of H.J. Res. 58 (disapproving the President's certification regarding foreign assistance to Mexico).,9,1
20,HJRES58,A joint resolution requiring the President to submit to Congress a report on the efforts of the United States and Mexico to achieve results in combating the production of and trafficking in illicit drugs.,,R,1997-03-03,,,24,18,6,0,International affairs,Urges the President to examine with leaders of governments of other countries in the Western Hemisphere the effectiveness of efforts to improve counterdrug activities in order to curtail the production traffic and abuse of illicit drugs and to define plans for specific actions to improve cooperation on such activities. Expresses the sense of the Congress that there has been ineffective and insufficient progress in halting the production in and transit through Mexico of illegal drugs. Re...,22,3
21,HRES88,Providing for consideration of the bill (H.R. 852) to amend chapter 35 of title 44 United States Code popularly known as the Paperwork Reduction Act to minimize the burden of Federal paperwork demands upon small businesses educational and nonprofit institutions Federal contractors State and local governments and other persons through the sponsorship and use of alternative information technologies.,,R,1997-03-11,,,0,0,0,0,Congress,Sets forth the rule (open) for the consideration of H.R. 852 (Federal paperwork reduction).,10,1
22,HR852,To amend chapter 35 of title 44 United States Code popularly known as the Paperwork Reduction Act to minimize the burden of Federal paperwork demands upon small businesses educational and nonprofit institutions Federal contractors State and local governments and other persons through the sponsorship and use of alternative information technologies.,Paperwork Elimination Act of 1997,R,1997-02-26,,,30,18,12,1,Government operations and politics,Paperwork Elimination Act of 1997 - Amends the Paperwork Reduction Act to require the Director of the Office of Management and Budget to: (1) provide direction and oversee the use of information technology including alternative information technologies to substitute for paper; (2) specifically promote the optional use of electronic information technology as such an alternative; and (3) provide within a required information resources strategic management plan a description of progress in prov...,20,1
23,HR412,To approve a settlement agreement between the Bureau of Reclamation and the Oroville-Tonasket Irrigation District.,Oroville-Tonasket Claims Settlement and Conveyance Act,R,1997-01-09,,,0,0,0,0,Public lands and natural resources,Oroville-Tonasket Claim Settlement and Conveyance Act - Approves the Settlement Agreement between the U.S. Bureau of Reclamation and the Oroville-Tonasket Irrigation District. Authorizes the Secretary of the Interior to conduct all necessary and appropriate investigations studies and required Federal actions to implement the Agreement. Provides for consideration by the District to the United States and U.S. responsibilities under such Agreement. Authorizes the Secretary to convey to the Dis...,35,1
24,HR924,To amend title 18 United States Code to give further assurance to the right of victims of crime to attend and observe the trials of those accused of the crime.,Victim Rights Clarification Act of 1997,R,1997-03-05,,,2,1,1,0,Crime and law enforcement,Victim Rights Clarification Act of 1997 - Amends the Federal criminal code to prohibit notwithstanding any statute rule or other provision of law a United States district court from ordering any victim of an offense excluded from the trial of a defendant accused of that offense because such victim may during the sentencing hearing: (1) make a statement or present any information in relation to the sentence; and (2) testify as to the effect of the offense on the victim and the victim's fa...,22,1
25,HR672,To make technical amendments to certain provisions of title 17 United States Code.,,R,1997-02-11,,,0,0,0,0,Intellectual property,Amends the Satellite Home Viewer Act of 1994 and various Federal copyright provisions to make technical and conforming amendments with respect to: (1) licensing and royalty fees charged for the retransmission for home viewing of superstation and network station transmissions; (2) the copyrighting of restored works; (3) licenses for nonexempt subscription transmissions; (4) royalties payable under compulsory licenses; (5) negotiated licenses for jukeboxes; (6) copyright registration and infrin...,31,1
26,HRES99,Providing for consideration of the bill (H.R. 1) to amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector.,,R,1997-03-18,,,0,0,0,0,Congress,Sets forth the rule (modified closed) for the consideration of H.R. 1 (providing compensatory time for employees of the private sector).,8,1
27,HR1,To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector.,,R,1997-01-07,,,99,96,4,0,,,0,5
28,HRES100,Providing for consideration of the bill (H.R. 1122) to amend title 18 United States Code to ban partial-birth abortions.,,R,1997-03-19,,,0,0,0,0,Congress,Sets forth the rule (closed) for the consideration of H.R. 1122 (late term abortion ban).,8,2
29,HR1122,To amend title 18 United States Code to ban partial-birth abortions.,Partial-Birth Abortion Ban Act of 1997,R,1997-03-19,,,0,0,0,0,Crime and law enforcement,"Partial-Birth Abortion Ban Act of 1997 - Amends the Federal criminal code to prohibit any physician from knowingly performing a partial-birth abortion in or affecting interstate or foreign commerce unless it is necessary to save the life of the mother. Prescribes penalties. Defines a ""partial birth abortion"" as an abortion in which a person deliberately and intentionally partially vaginally delivers a living fetus before killing the fetus and completing the delivery. Authorizes the father...",59,8
30,HRES101,Providing for consideration of the resolution (H. Res. 91) providing amounts for the expenses of certain committees of the House of Representatives in the One Hundred Fifth Congress.,,R,1997-03-19,,,0,0,0,0,Congress,Sets forth the rule (modified closed) for the consideration of H.Res. 91 (House committee funding).,9,1
31,HRES105,Providing for consideration of the resolution (H. Res. 91) providing amounts for the expenses of certain committees of the House of Representatives in the One Hundred Fifth Congress.,,R,1997-03-20,,,0,0,0,0,Congress,Sets forth the rule (closed) for the consideration of H.Res. 91 (House committee funding).,10,1
32,HRES91,Providing amounts for the expenses of certain committees of the House of Representatives in the One Hundred Fifth Congress.,,R,1997-03-11,,,0,0,0,0,Congress,Makes necessary amounts available for continuing expenses of standing and select committees of the House of Representatives (other than the Committee on Government Reform and Oversight) for the period of April 1 1997 through May 2 1997 on the same terms and conditions as amounts were available to such committees for the period of January 3 1997 through March 31 1997. Makes a specified amount available for expenses of the House Committee on Government Reform and Oversight including the...,17,2
33,HR28,To amend the Housing Act of 1949 to extend the loan guarantee program for multifamily rental housing in rural areas.,Rural Multifamily Rental Housing Loan Guarantee Extension Act of 1997,R,1997-01-07,,,1,0,1,0,Housing and community development,Rural Multifamily Rental Housing Loan Guarantee Extension Act of 1997 - Amends the Housing Act of 1949 with regard to rural multifamily rental housing loan guarantees to extend the: (1) authorization of appropriations; and (2) annual guarantee limitations but bases such limitations on fiscal year appropriations.,12,1
34,HR1000,To require States to establish a system to prevent prisoners from being considered part of any household for purposes of determining eligibility of the household for food stamp benefits and the amount of food stamp benefits to be provided to the household under the Food Stamp Act of 1977.,,R,1997-03-10,,,8,5,3,0,Agriculture and food,Amends the Food Stamp Act of 1977 to require States to verify that prisoners are not considered part of a household for food stamp program purposes.,16,1
35,HRES107,Providing for consideration of motions to suspend the rules.,,R,1997-04-08,,,0,0,0,0,Congress,Makes it in order at any time on April 9 or 10 1997 for the Speaker of the House of Representatives to entertain motions that the House suspend the rules.,9,1
36,HR1003,To clarify Federal law with respect to restricting the use of Federal funds in support of assisted suicide.,Assisted Suicide Funding Restriction Act of 1997,D,1997-03-11,,,118,101,17,0,Health,Assisted Suicide Funding Restriction Act of 1997 - Prohibits the use of appropriated funds to provide or pay for any health care item or service or health benefit coverage for the purpose of causing or assisting to cause the death of any individual. Sets forth a nonexclusive list of programs facilities and personnel to which the prohibition applies including under Social Security Act titles V (Maternal and Child Health Services) XVIII (Medicare) XIX (Medicaid) and XX (Block Grants to ...,45,2
37,HR1226,To amend the Internal Revenue Code of 1986 to prevent the unauthorized inspection of tax returns or tax return information.,Taxpayer Browsing Protection Act,R,1997-04-08,,,27,13,14,0,Taxation,Taxpayer Browsing Protection Act - Amends the Internal Revenue Code to make it unlawful for Federal employees State employees or other specified persons to willfully inspect except as authorized any tax return or return information. Provides for a monetary penalty imprisonment or both for violators. (Current law imposes penalties only for the unlawful disclosure of such information.) Permits civil damages for the unauthorized inspection or disclosure (currently only for the unauthorize...,20,1
38,HRES109,Expressing the sense of the House of Representatives that American families deserve tax relief.,,R,1997-04-09,,,16,16,0,0,Taxation,Urges the Congress and the President to work together to enact permanent tax relief for our Nation's families.,9,1
39,HJRES62,Proposing an amendment to the Constitution of the United States with respect to tax limitations.,,R,1997-03-11,,,164,156,8,1,Taxation,Constitutional Amendment - Requires that a bill to change the internal revenue laws shall require for final adoption in each House the concurrence of two-thirds of the whole of the number of that House unless the bill does not increase the internal revenue by more than a de minimis amount. Permits the waiver of such requirement for up to two years if there is a declaration of war or if the United States is engaged in a military conflict which causes an imminent and serious threat to nation...,20,1
40,HRES112,Providing for consideration of motions to suspend the rules.,,R,1997-04-14,,,0,0,0,0,Congress,Makes it in order at any time on April 16 1997 for the Speaker of the House of Representatives to entertain motions that the House suspend the rules.,8,1
41,HR607,An Act to amend the National Housing Act to prevent the funding of unnecessary or excessive costs for obtaining a home equity conversion mortgage to require automatic cancellation and notice of cancellation rights with respect to private mortgage insurance required as a condition for entering into a residential mortagage transaction to abolish the Thrift Depositor Protection Oversight Board and for other purposes.,Home Owners Protection Act,R,1997-02-05,,,33,12,21,0,Finance and financial sector,TABLE OF CONTENTS: Title I: Senior Citizen Home Equity Protection Subtitle A: Senior Citizen Home Equity Protection Subtitle B: Temporary Extension of Public Housing and Section 8 Rental Assistance Provisions Subtitle C: Reauthorization of Federally Assisted Multifamily Rental Housing Provisions Subtitle D: Reauthorization of Rural Housing Programs Subtitle E: Reauthorization of National Flood Insurance Program Subtitle F: Native American Housing Assistance Title II: Homeowners Protection Act...,22,1
42,HCONRES61,Honoring the lifetime achievements of Jackie Robinson.,,R,1997-04-15,,,2,2,0,0,Commemorations,Honors the achievements and contributions of Jackie Robinson.,13,1
43,HR400,To amend title 35 United States Code with respect to patents and for other purposes.,Omnibus Patent Act of 1997,R,1997-01-09,,,35,13,22,0,Intellectual property,TABLE OF CONTENTS: Title I: United States Patent and Trademark Organization Subtitle A: Establishment of the United States Patent and Trademark Organization Subtitle B: Effective Date; Technical Amendments Subtitle C: Miscellaneous Provisions Title II: Early Publication of Patent Applications Title III: Patent Term Restoration Title IV: Prior Domestic Commercial Use Title V: Patent Reexamination Reform Title VI: Miscellaneous Patent Provisions Omnibus Patent Act of 1997 - Title I: United Stat...,43,5
44,HR1275,To authorize appropriations for the National Aeronautics and Space Administration for fiscal years 1998 and 1999 and for other purposes.,Civilian Space Authorization Act Fiscal Years 1998 and 1999,R,1997-04-10,,,10,4,6,0,Space activities,TABLE OF CONTENTS: Title I: Authorization of Appropriations Subtitle A: Authorizations Subtitle B: Restructuring the National Aeronautics and Space Administration Subtitle C: Limitations and Special Authority Title II: International Space Station Title III: Miscellaneous Provisions Civilian Space Authorization Act Fiscal Years 1998 and 1999 - Title I: Authorization of Appropriations - Subtitle A: Authorizations - Authorizes appropriations for the National Aeronautics and Space Administration...,20,2
45,HR1342,To provide for a one-year enrollment in the conservation reserve of land covered by expiring conservation reserve program contracts.,,R,1997-04-16,,,10,10,0,0,Agriculture and food,Authorizes a one-year conservation reserve program (CRP) enrollment (to begin October 1 1997) for land covered by a CRP contract expiring in FY 1997 if: (1) such land is eligible CRP land had a wheat oats or barley crop acreage base and is located in an area where fall-seeded crops are regularly planted; and (2) the owner submitted an enrollment bid during the March 28 1997 enrollment period. States that: (1) such one-year enrollment shall be considered part of any subsequent long-term ...,14,1
46,HR680,To amend the Federal Property and Administrative Services Act of 1949 to authorize the transfer to States of surplus personal property for donation to nonprofit providers of necessaries to impoverished families and individuals.,,D,1997-02-11,,,50,7,42,0,Government operations and politics,Amends the Federal Property and Administrative Services Act of 1949 to add providers of assistance to families or individuals with annual incomes below the poverty line to the list of organizations eligible to receive surplus personal property allocated by the Administrator of the General Services Administration. Authorizes the Administrator under such regulations as the Administrator may prescribe to assign to the Secretary of Housing and Urban Development (HUD) for disposal such surplus r...,30,1
47,HR363,To amend section 2118 of the Energy Policy Act of 1992 to extend the Electric and Magnetic Fields Research and Public Information Dissemination Program.,,D,1997-01-07,,,1,0,1,0,Energy,Amends the Energy Policy Act of 1992 to extend through 1998 the Electric and Magnetic Fields Research and Public Information Dissemination Program along with corresponding deadlines for the submission of certain reports concerning the extent to which human health is affected by exposure to electric and magnetic fields produced by electric energy. Reduces authorized appropriations from $65 million to $46 million.,36,1
48,HR1271,An Act to authorize the Federal Aviation Administration's research engineering and development programs for fiscal years 1998 and 1999 and for other purposes.,FAA Research Engineering and Development Authorization Act of 1998,R,1997-04-10,,,5,2,3,0,Transportation and public works,FAA Research Engineering and Development Authorization Act of 1997 - Amends Federal transportation law to authorize FY 1998 and 1999 appropriations for specified aviation programs. Directs the Administrator of the Federal Aviation Administration (FAA) to establish a grant program to utilize undergraduate and technical colleges including historically black colleges and Hispanic serving institutions in research on subjects of relevance to the FAA. Sets forth criteria for the award of such g...,38,1
49,HR867,To promote the adoption of children in foster care.,Adoption and Safe Families Act of 1997,R,1997-02-27,,,31,20,11,0,Families,TABLE OF CONTENTS: Title I: Reasonable Efforts and Safety Requirements for Foster Care and Adoption Placements Title II: Incentives for Providing Permanent Families for Children Title III: Additional Improvements and Reforms Title IV: Miscellaneous Title V: Effective Date Adoption and Safe Families Act of 1997 - Title I: Reasonable Efforts and Safety Requirements for Foster Care and Adoption Placements - Amends title IV part E (Foster Care and Adoption Assistance) of the Social Security Act (...,38,1
50,HRES129,Providing amounts for the expenses of certain committees of the House of Representatives in the One Hundred Fifth Congress.,,R,1997-04-24,,,0,0,0,0,Congress,Makes amounts available for expenses including expenses of staff salaries of the following committees of the House of Representatives in the 105th Congress: (1) Agriculture; (2) Banking and Financial Services; (3) Budget; (4) Commerce; (5) Education and the Workforce; (6) House Oversight; (7) Permanent Select Committee on Intelligence; (8) International Relations; (9) Judiciary; (10) National Security; (11) Resources; (12) Rules; (13) Science; (14) Small Business; (15) Standards of Official...,13,1
51,HR2,To repeal the United States Housing Act of 1937 deregulate the public housing program and the program for rental housing assistance for low-income families and increase community control over such programs and for other purposes.,Housing Opportunity and Responsibility Act of 1997,R,1997-01-07,,,7,7,0,0,Housing and community development,TABLE OF CONTENTS: Title I: General Provisions Title II: Public Housing Subtitle A: Block Grants Subtitle B: Admissions and Occupancy Requirements Subtitle C: Management Subtitle D: Homeownership Subtitle E: Disposition Demolition and Revitalization of Developments Subtitle F: Mixed-Finance Public Housing Subtitle G: General Provisions Title III: Choice-Based Rental Housing and Homeownership Assistance for Low-Income Families Subtitle A: Allocation Subtitle B: Choice-Based Housing Assistanc...,90,14
52,HRES93,Expressing the sense of the House of Representatives that the Bureau of Labor Statistics alone should make any adjustments if any are needed to the methodology used to determine the Consumer Price Index.,,R,1997-03-12,,,9,1,7,0,Economics and public finance,Expresses the sense of the House of Representatives that the Bureau of Labor Statistics alone should make any adjustments to the methodology used to determine the Consumer Price Index.,9,1
53,HRES142,Providing for consideration of the bill (H.R. 478) to amend the Endangered Species Act of 1973 to improve the ability of individuals and local State and Federal agencies to comply with that Act in building operating maintaining or repairing flood control projects facilities or structures.,,R,1997-05-06,,,0,0,0,0,Congress,Sets forth the rule (open) for the consideration of H.R. 478 (flood control project compliance with the Endangered Species Act of 1973).,8,1
54,HR478,To amend the Endangered Species Act of 1973 to improve the ability of individuals and local State and Federal agencies to comply with that Act in building operating maintaining or repairing flood control projects facilities or structures.,Flood Prevention and Family Protection Act of 1997,R,1997-01-21,,,24,23,1,1,Emergency management,Flood Prevention and Family Protection Act of 1997 - Amends the Endangered Species Act of 1973 (the Act) to exempt from provisions requiring consultation and conferencing with the Secretary of the Interior any agency action that consists of: (1) reconstructing operating maintaining or repairing a Federal or non-Federal flood control project facility or structure to address a critical imminent threat to public health or safety or a catastrophic natural event or to comply with Federal S...,17,1
55,HRES143,Providing for consideration of the bill (H.R. 3) to combat violent youth crime and increase accountability for juvenile criminal offenses.,,R,1997-05-06,,,0,0,0,0,Congress,Sets forth the rule (closed) for the consideration of H.R. 3 (juvenile crime).,8,1
56,HR3,To combat violent youth crime and increase accountability for juvenile criminal offenses.,Juvenile Crime Control Act of 1997,R,1997-01-07,,,5,5,0,0,Crime and law enforcement,TABLE OF CONTENTS: Title I: Reforming the Federal Juvenile Justice System Title II: Apprehending Armed Violent Youth Title III: Accountability for Juvenile Offenders and Public Protection Incentive Grants Title IV: Special Priority for Certain Discretionary Grants Title V: Grant Reduction Juvenile Crime Control Act of 1997 - Title I: Reforming the Federal Juvenile Justice System - Amends provisions of the Federal criminal code regarding delinquency proceedings in district courts and transfer ...,41,8
57,HR5,To amend the Individuals with Disabilities Education Act to reauthorize and make improvements to that Act and for other purposes.,Individuals with Disabilities Education Act Amendments of 1997,R,1997-01-07,,,18,17,1,0,Elementary and secondary education,TABLE OF CONTENTS: Title I: Amendments to the Individuals with Disabilities Education Act Title II: Miscellaneous Provisions Individuals with Disabilities Education Act Amendments of 1997 - Title I: Amendments to the Individuals with Disabilities Education Act - Amends the Individuals with Disabilities Education Act (IDEA) to revise its provisions and extend through FY 2002 the authorization of appropriations for IDEA programs. Allows States to extend use of the developmental delay category o...,26,2
58,HRES146,Providing for consideration of the bill (H.R. 1469) making emergency supplemental appropriations for recovery from natural disasters and for overseas peacekeeping efforts including those in Bosnia for the fiscal year ending September 30 1997 and for other purposes.,,R,1997-05-13,,,0,0,0,0,Congress,Sets forth the rule (open) for the consideration of H.R. 1469 (emergency supplemental appropriations).,8,1
59,HRES149,Providing for consideration of the bill (H.R. 1469) making emergency supplemental appropriations for recovery from natural disasters and for overseas peacekeeping efforts including those in Bosnia for the fiscal year ending September 30 1997 and for other purposes.,,R,1997-05-14,,,0,0,0,0,Congress,Sets forth the rule (open) for the consideration of H.R. 1469 (emergency supplemental appropriations).,8,2
60,HR1469,Making emergency supplemental appropriations for recovery from natural disasters and for overseas peacekeeping efforts including those in Bosnia for the fiscal year ending September 30 1997 and for other purposes.,Supplemental Appropriations and Rescissions Act of 1997,R,1997-04-29,,,0,0,0,0,Economics and public finance,TABLE OF CONTENTS: Title I: Emergency Supplemental Appropriations for the Department of Defense Chapter 1: Department of Defense - Military Chapter 2: Rescissions Chapter 3: General Provisions - This Title Title II: Emergency Supplemental Appropriations for Recovery from Natural Disasters Chapter 1: Department of Agriculture Chapter 2: Department of Commerce Chapter 3: Department of Defense - Civil Chapter 4: Foreign Operations Export Financing and Related Programs Chapter 5: Department of ...,76,9
61,HR1385,To consolidate coordinate and improve employment training literacy and vocational rehabilitation programs in the United States and for other purposes.,Workforce Investment Partnership Act of 1998,R,1997-04-17,,,6,4,2,0,Labor and employment,TABLE OF CONTENTS: Title I: Workforce Investment Systems Subtitle A: Workforce Investment Definitions Subtitle B: Statewide and Local Workforce Investment Systems Subtitle C: Job Corps Subtitle D: National Programs Subtitle E: Administration Subtitle F: Repeals and Conforming Amendments Title II: Adult Education and Literacy Subtitle A: Adult Education and Literacy Programs Subtitle B: Repeals Title III: Workforce Investment-Related Activities Subtitle A: Wagner-Peyser Act Subtitle B: Linkage...,48,3
62,HRES152,Providing for consideration of the concurrent resolution (H. Con. Res. 84) establishing the congressional budget for the United States Government for fiscal year 1998 and setting forth appropriate budgetary levels for fiscal years 1999 2000 2001 and 2002.,,R,1997-05-19,,,0,0,0,0,Congress,Sets forth the rule (modified closed) for the consideration of H. Con. Res. 84 (congressional budget).,8,2
63,SCONRES26,A concurrent resolution to permit the use of the rotunda of the Capitol for a congressional ceremony honoring Mother Teresa.,,R,1997-05-08,,,0,0,0,0,Commemorations,Authorizes use of the rotunda of the Capitol on June 5 1997 for a congressional ceremony honoring Mother Teresa.,13,1
